username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-02-23 00:04;1;1;"นิติศาสตร์ จุฬาฯ จัดเสวนา เวที ฬ.จุฬาฯ นิติมิติ "นโยบายภาษีอากรเพื่อการพัฒนาประเทศ" #เลือกตั้ง62 โดย ผู้แทนจากพรรคการเมือง #ไทยรักษาชาติ #ไทยศรีวิไลย์ #ประชาชาติ #ประชาธิปัตย์ #พลังประชารัฐ #เพื่อไทย #ภูมิใจไทย #รวมพลังประชาชาติไทย #เสรีรวมไทย #อนาคตใหม่ 27 ก.พ. 8.30-12.30น. pic.twitter.com/62lOxclvCI";;;#เล #ไทยร #ไทยศร #ประชาชาต #ประชาธ #พล #เพ #ภ #รวมพล #เสร #อนาคตใหม;"1098991820376203265";https://twitter.com/rapee_cu/status/1098991820376203265
;2019-02-22 23:28;3;3;"เอาจริงๆขนาดลุงแกพูดทุกวันศุกร์แกยังไปไม่ค่อยชัดเลย คิดดูว่าลุงแกมีรายการนี้มากี่ปีเเต่นี่เคยดูแค่ครั้งเดียวอ่ะ ลุงควรพิจารณาตัวเองไหมอ่ะ หนูพูดในฐานนะ ปชช หรือเด็กตาดำดำก็ได้อ่ะ #ประชาธิปัตย์ #ลุงตู่ #ประเทศกูมี #Savethanathorn #อนาคตใหม่ #เลือกตั้ง62 #การเมืองไทย";;;#ประชาธ #ล #ประเทศก #Savethanathorn #อนาคตใหม #เล #การเม;"1098982906238660609";https://twitter.com/Ppsad1/status/1098982906238660609
;2019-02-22 23:26;6;4;"อยากให้ทุกคนดูดีเบตนี้ ตัดทุกความขัดแย้งออก อยากเห็นทุกพรรคร่วมมือกันผลักดันประเทศให้พัฒนาไปให้ไกลกว่านี้ ชอบทีมเศรษฐกิจของทุกพรรค แนวคิดดีมาก ควรเอาแนวคิดจากทุกคนมารวมกัน แล้วผลักดันให้ประเทศดีขึ้น #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เลือกตั้ง62 https:// youtu.be/uDELhw6-Ey8";;;#อนาคตใหม #เพ #ประชาธ #เล;"1098982370055606272";https://twitter.com/freedom_next_ex/status/1098982370055606272
;2019-02-22 22:30;6;6;"ถอดบทเรียนนโยบาย ‘เพื่อไทย’ ปรับกลยุทธ์สู่นโยบาย ‘ #ประชาธิปัตย์ ’ เดิมพันครั้งสุดท้ายของ ‘อภิสิทธิ์’ หากได้ ส.ส. ต่ำกว่า 100 ที่นั่ง นี่อาจจะเป็นสนามเลือกตั้งครั้งสุดท้ายของเขา @democratTH #คู่มือเลือกตั้ง62 #TheStandardVDO #TheStandardCo pic.twitter.com/trZ547Rb9W";;@democratTH;#ประชาธ #ค #TheStandardVDO #TheStandardCo;"1098968156037476353";https://twitter.com/TheStandardVDO/status/1098968156037476353
;2019-02-22 22:09;2;3;"มัวแต่เถียงกันเรื่องประชาธิปไตย กับ เผ็ดกลาง ฟังมาหลายวันแล้ว น่ามคาน มาเถียงกันเรื่องเศรษฐกิจ ดีกว่าจะได้กาถูก ต่อให้คุณมาบริหารประเทศ ถ้าเศรษฐกิจไม่ดีก็อดตายกันหมด #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เพื่อชาติ #เสรีรวมไทย #พลังประชารัฐ";;;#ไทยร #เล #อนาคตใหม #เพ #ประชาธ #เพ #เสร #พล;"1098963016337436672";https://twitter.com/Asokun39/status/1098963016337436672
;2019-02-22 21:45;6;2;"ประเด็น นโยบาย กับ การเก็บภาษีเพิ่ม ในการดีเบตของมติชนออนไลน์ ของ 4พรรค #อนาคตใหม่ #ประชาธิปัตย์ #เพื่อไทย #พลังประชารัฐ ที่คุณ @TheSmilingHut สรุปไว้พอสังเขปน่าสนใจ ลองพิจราณากันเอง pic.twitter.com/upVVp3SsSh";;@TheSmilingHut;#อนาคตใหม #ประชาธ #เพ #พล;"1098956982680117248";https://twitter.com/Sulovebossss/status/1098956982680117248
;2019-02-22 21:43;0;1;"อยากรู้เหมือนกันระหว่างการที่ปชป.ไปร่วมกับพปชร.กับไปร่วมกับเพื่อไทยคิดว่า แฟนคลับปชป.ที่ไม่เอาทั้งพปชร.และทักษิณจะรับตัวเลือกไหนได้มากกว่ากัน #เลือกตั้ง62 #ประชาธิปัตย์ #พรรคพลังประชารัฐ #เพื่อไทย";;;#เล #ประชาธ #พรรคพล #เพ;"1098956362355068928";https://twitter.com/smkptn1/status/1098956362355068928
;2019-02-22 21:42;10;10;"เอางี้ กูว่ามึงยุบให้หมดเหอะ เหลือแค่พรรค #พลังประชารัฐ กับ #ประชาชนปฏิรูป พอ มึงได้เป็นนายกชัวร์ คือกูเห็นมึงพยายามแล้วกูเหนื่อยแทนว่ะ #เลือกตั้ง62 #ไทยรัฐเลือกตั้ง62 #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เสรีรวมไทย #ฟ้ารักพ่อ #savetanathorn";;;#พล #ประชาชนปฏ #เล #ไทยร #อนาคตใหม #เพ #ประชาธ #เสร #ฟ #savetanathorn;"1098956171065475073";https://twitter.com/volleyship/status/1098956171065475073
;2019-02-22 21:25;1;0;"โอ้ย อันนี้โคดโดนใจ นั่นล่ะเค้าล่ะ #ประชาธิปัตย์ https:// twitter.com/zami998/status /1098929193331634177 …";;;#ประชาธ;"1098951909493243904";https://twitter.com/volleyship/status/1098951909493243904
;2019-02-22 21:25;26;27;"ถอดบทเรียนนโยบาย ‘เพื่อไทย’ ปรับกลยุทธ์สู่นโยบาย ‘ #ประชาธิปัตย์ ’ เดิมพันครั้งสุดท้ายของ ‘อภิสิทธิ์’ หากได้ ส.ส. ต่ำกว่า 100 ที่นั่ง นี่อาจจะเป็นสนามเลือกตั้งครั้งสุดท้ายของเขา @democratTH #คู่มือเลือกตั้ง62 #TheStandardVDO #TheStandardCo pic.twitter.com/44Dgsx4LHd";;@democratTH;#ประชาธ #ค #TheStandardVDO #TheStandardCo;"1098951805008982017";https://twitter.com/thestandardth/status/1098951805008982017
