username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-02-21 06:59;0;1;"พร้อมแนบพยาน! ทษช.ยื่นคำชี้แจงคดียุบพรรคต่อศาลรธน.แล้ว http://www. topicza.com/news87762.html ?d=21022019&f=65246 … #เลือกตั้งปี62 #อนาคตใหม่ #ไทยรักษาชาติ #ข่าวสดบันเทิง #ข่าวดัง #ข่าวด่วน #ข่าวกระแส #ข่าวจริง #ข่าววันนี้";;;#เล #อนาคตใหม #ไทยร #ข #ข #ข #ข #ข #ข;"1098371548161794055";https://twitter.com/Nuna20097026/status/1098371548161794055
;2019-02-21 06:56;5;2;"ทวิต #Savethanathorn ทั้งคืนก็เพราะคำที่พ่อพูดเลย #ฟ้ารักพ่อ #อนาคตใหม่ เราเลือกเอง pic.twitter.com/VtqoG3MKWx";;;#Savethanathorn #ฟ #อนาคตใหม;"1098370741526032385";https://twitter.com/ASpeelpenning/status/1098370741526032385
;2019-02-21 06:55;69;26;"#savethanatorn ตื่นเช้ามาก็เห็นสิ่งนี้ #อนาคตใหม่ pic.twitter.com/qz99p8G91M";;;#savethanatorn #อนาคตใหม;"1098370474881429504";https://twitter.com/Areeya_Su/status/1098370474881429504
;2019-02-21 06:55;0;1;"พร้อมแนบพยาน! ทษช.ยื่นคำชี้แจงคดียุบพรรคต่อศาลรธน. http://www. topicza.com/news87762.html ?d=21022019&f=65246 … #เลือกตั้งปี62 #อนาคตใหม่ #ไทยรักษาชาติ #ข่าวสดบันเทิง #ข่าวการเมือง #ข่าวดัง #ข่าวด่วน #ข่าวกระแส #ข่าวจริง #ข่าววันนี้";;;#เล #อนาคตใหม #ไทยร #ข #ข #ข #ข #ข #ข #ข;"1098370464659922944";https://twitter.com/Nana95109174/status/1098370464659922944
;2019-02-21 06:53;0;5;"ชาวเน็ตเชียร์คู่นี้เล่นละคร ลิขิตรักข้ามดวงดาว แทน แมทภีรนีย์! #สารวัตรใหญ่ #ภูผาเพิ่ม #ภูผา #SotusTheSeries #หนักแผ่นดิน #ChocolateVillage #นางร้าย #TheFaceThailand5 #พอลแทน #เตนิว #เต้ยเชียร์ #พรรคอนาคตใหม่ #หัวใจศิวัช #อนาคตใหม่ #ออฟกัน #เลือกตั้ง2562 http://www. starnews2day.com/news83984.html ?d=21022019&f=40157 …";;;#สารว #ภ #ภ #SotusTheSeries #หน #ChocolateVillage #นางร #TheFaceThailand5 #พอลแทน #เตน #เต #พรรคอนาคตใหม #ห #อนาคตใหม #ออฟก #เล;"1098369961246875648";https://twitter.com/Maarsang1/status/1098369961246875648
;2019-02-21 06:49;3;3;"ปชช ไม่ได้เสียภาษีให้ควายมาบริหารประเทศ!! ฉันเลือก #อนาคตใหม่ #savethanatorn";;;#อนาคตใหม #savethanatorn;"1098369197770387456";https://twitter.com/xxxigiwwwTBB/status/1098369197770387456
;2019-02-21 06:48;0;0;"อินเทอร์เน็ตคือพื้นที่แห่งเสรีภาพ ไม่มีใครสามารถปฏิวัติที่แห่งนี้และยึดอำนาจไปจากพวกเราได้ #SaveThanathorn #เลือกตั้ง62 #อนาคตใหม่";;;#SaveThanathorn #เล #อนาคตใหม;"1098368819993538561";https://twitter.com/artistharris/status/1098368819993538561
;2019-02-21 06:40;7;2;"ผู้นำโง่บางทีก็น่ารำคาญ อย่าเลี้ยงประชาชนให้กินหญ้า เรามีสมองพอที่จะเข้าใจว่าคุณไม่ได้หวังดีอะไร จะลงโลงอยู่ละยังไม่รู้จักยอมรับความจริง มันปวดใจที่คนดีๆเขาตั้งใจทำเพื่อประเทศ #Savethanathorn #อนาคตใหม่";;;#Savethanathorn #อนาคตใหม;"1098366802298425345";https://twitter.com/Palmmy_ce/status/1098366802298425345
;2019-02-21 06:26;0;0;"คือไม่ได้เห็น ไม่ได้ยิน ไม่ได้อ่านนโยบาย หรือเหตุผลในการเลือกทหารเลย เห็นแต่คนที่โดนล้างสมองไปแล้ว ออกมาด่าธนาธร หยุดเถอะครับ หยุดสร้างชาติจากความเกลียดชังได้แล้วครับ #อนาคตใหม่";;;#อนาคตใหม;"1098363368996368384";https://twitter.com/Sora_Taj/status/1098363368996368384
;2019-02-21 06:24;15;3;"กองทัพชนะได้เพราะมีผู้นำที่กล้า #อนาคตใหม่ #Savethanathorn pic.twitter.com/sUxHXcu2mm";;;#อนาคตใหม #Savethanathorn;"1098362680975548417";https://twitter.com/ASpeelpenning/status/1098362680975548417
