username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-02-23 00:04;1;1;"นิติศาสตร์ จุฬาฯ จัดเสวนา เวที ฬ.จุฬาฯ นิติมิติ "นโยบายภาษีอากรเพื่อการพัฒนาประเทศ" #เลือกตั้ง62 โดย ผู้แทนจากพรรคการเมือง #ไทยรักษาชาติ #ไทยศรีวิไลย์ #ประชาชาติ #ประชาธิปัตย์ #พลังประชารัฐ #เพื่อไทย #ภูมิใจไทย #รวมพลังประชาชาติไทย #เสรีรวมไทย #อนาคตใหม่ 27 ก.พ. 8.30-12.30น. pic.twitter.com/62lOxclvCI";;;#เล #ไทยร #ไทยศร #ประชาชาต #ประชาธ #พล #เพ #ภ #รวมพล #เสร #อนาคตใหม;"1098991820376203265";https://twitter.com/rapee_cu/status/1098991820376203265
;2019-02-22 23:29;2;0;"คนที่ว่านายกกินข้าวกล่องบนรถ ว่าปลอม สร้างภาพ เขาจะสร้างภาพเพื่อ? อาจเป็นชั่วโมงเร่งด่วนเลยต้องกินข้าวบนรถ จะให้นายกกินข้าวในภัตตาคารหรูอย่างเดียวเลยเหรอ? #พรรคพลังประชารัฐ #หนักแผ่นดิน #การเมือง #อนาคตใหม่ #Savethanathorn #เพื่อไทย #พรรคไทยรักษาชาติ #ลุงตู่";;;#พรรคพล #หน #การเม #อนาคตใหม #Savethanathorn #เพ #พรรคไทยร #ล;"1098983075965394944";https://twitter.com/KKrittasin/status/1098983075965394944
;2019-02-22 23:26;6;4;"อยากให้ทุกคนดูดีเบตนี้ ตัดทุกความขัดแย้งออก อยากเห็นทุกพรรคร่วมมือกันผลักดันประเทศให้พัฒนาไปให้ไกลกว่านี้ ชอบทีมเศรษฐกิจของทุกพรรค แนวคิดดีมาก ควรเอาแนวคิดจากทุกคนมารวมกัน แล้วผลักดันให้ประเทศดีขึ้น #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เลือกตั้ง62 https:// youtu.be/uDELhw6-Ey8";;;#อนาคตใหม #เพ #ประชาธ #เล;"1098982370055606272";https://twitter.com/freedom_next_ex/status/1098982370055606272
;2019-02-22 23:18;21;14;"ช่วยกันติด #เนชั่นสื่อขยะ กันเถอะ #เลือกตั้ง62 #ฟ้ารักพ่อ #อนาคตใหม่ #เพื่อไทย #ไทยรักษาชาติ #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62";;;#เนช #เล #ฟ #อนาคตใหม #เพ #ไทยร #เสร #ไทยร;"1098980420505427968";https://twitter.com/Rachata_chai/status/1098980420505427968
;2019-02-22 23:11;0;0;"จากที่ฟังที่ดูแล้วรู้สึกเพื่อไทยเป็นพรรคที่เข้าถึงปชช.จริงๆอ่ะ เข้าใจปัญหาจริง เก่งเรื่องเศรษกิจจริง ไม่แปลกที่คตส่วนใหญ่จะloyalty #เพื่อไทย #เลือกตั้ง62";;;#เพ #เล;"1098978649275944960";https://twitter.com/fluuuuuke/status/1098978649275944960
;2019-02-22 22:30;0;0;"ทางเท้าบังเป็นของเราอยู่ป่ะ #เลือกตั้ง62 #ป้ายหาเสียง #พลังประชารัฐ #เพื่อไทย #อนาคตไหม่ pic.twitter.com/Nndl3WKelF";;;#เล #ป #พล #เพ #อนาคตไหม;"1098968366792925186";https://twitter.com/pponpon4/status/1098968366792925186
;2019-02-22 22:09;2;3;"มัวแต่เถียงกันเรื่องประชาธิปไตย กับ เผ็ดกลาง ฟังมาหลายวันแล้ว น่ามคาน มาเถียงกันเรื่องเศรษฐกิจ ดีกว่าจะได้กาถูก ต่อให้คุณมาบริหารประเทศ ถ้าเศรษฐกิจไม่ดีก็อดตายกันหมด #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เพื่อชาติ #เสรีรวมไทย #พลังประชารัฐ";;;#ไทยร #เล #อนาคตใหม #เพ #ประชาธ #เพ #เสร #พล;"1098963016337436672";https://twitter.com/Asokun39/status/1098963016337436672
;2019-02-22 21:49;3;4;"คิดว่ามีพรรคการเมือง​พรรคไหนสามารถจัดตั้งรัฐ​บาลพรรเดียวได้ ถ้าไม่อยากเห็นใคร+กับใครกันบ้าง #เลือกตั้ง2562 #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #เลือกตั้ง #เพื่อไทย #พลังประชารัฐ #อนาคตใหม่";;;#เล #ไทยร #เล #เล #เพ #พล #อนาคตใหม;"1098957987572400130";https://twitter.com/Snow97835620/status/1098957987572400130
;2019-02-22 21:45;6;2;"ประเด็น นโยบาย กับ การเก็บภาษีเพิ่ม ในการดีเบตของมติชนออนไลน์ ของ 4พรรค #อนาคตใหม่ #ประชาธิปัตย์ #เพื่อไทย #พลังประชารัฐ ที่คุณ @TheSmilingHut สรุปไว้พอสังเขปน่าสนใจ ลองพิจราณากันเอง pic.twitter.com/upVVp3SsSh";;@TheSmilingHut;#อนาคตใหม #ประชาธ #เพ #พล;"1098956982680117248";https://twitter.com/Sulovebossss/status/1098956982680117248
;2019-02-22 21:43;0;1;"อยากรู้เหมือนกันระหว่างการที่ปชป.ไปร่วมกับพปชร.กับไปร่วมกับเพื่อไทยคิดว่า แฟนคลับปชป.ที่ไม่เอาทั้งพปชร.และทักษิณจะรับตัวเลือกไหนได้มากกว่ากัน #เลือกตั้ง62 #ประชาธิปัตย์ #พรรคพลังประชารัฐ #เพื่อไทย";;;#เล #ประชาธ #พรรคพล #เพ;"1098956362355068928";https://twitter.com/smkptn1/status/1098956362355068928
