username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-02-23 00:21;0;0;"พร้อมรับใช้นะฮะ #เสรีรวมไทย #เสรีพิศุทธ์เตมียเวส #เขต6 #ราชเทวี #พญาไท #จตุจักร #คิดภูวพัฒน์ #คิดเบอร์2 #เลือกตั้ง62 #กรุงเทพ @จตุจักร https://www. instagram.com/p/BuMTerlADla/ ?utm_source=ig_twitter_share&igshid=ruv00bikq5k …";;@จต;#เสร #เสร #เขต6 #ราชเทว #พญาไท #จต #ค #ค #เล #กร;"1098996220784267265";https://twitter.com/maii_sukavat/status/1098996220784267265
;2019-02-23 00:04;2;1;"นิติศาสตร์ จุฬาฯ จัดเสวนา เวที ฬ.จุฬาฯ นิติมิติ "นโยบายภาษีอากรเพื่อการพัฒนาประเทศ" #เลือกตั้ง62 โดย ผู้แทนจากพรรคการเมือง #ไทยรักษาชาติ #ไทยศรีวิไลย์ #ประชาชาติ #ประชาธิปัตย์ #พลังประชารัฐ #เพื่อไทย #ภูมิใจไทย #รวมพลังประชาชาติไทย #เสรีรวมไทย #อนาคตใหม่ 27 ก.พ. 8.30-12.30น. pic.twitter.com/62lOxclvCI";;;#เล #ไทยร #ไทยศร #ประชาชาต #ประชาธ #พล #เพ #ภ #รวมพล #เสร #อนาคตใหม;"1098991820376203265";https://twitter.com/rapee_cu/status/1098991820376203265
;2019-02-22 23:35;11;8;"#เนชั่นสื่อขยะ อยากให้ช่องเนชั่นย้อนกลับดูตัวเองบ้าง ว่าที่ทำอยู่ทุกวันมันน่าสะอิดสะเอียน #ไทยรัฐเลือกตั้ง62 #เสรีรวมไทย";;;#เนช #ไทยร #เสร;"1098984698812846080";https://twitter.com/BlueCherry1111/status/1098984698812846080
;2019-02-22 23:26;0;0;"ป๋าแซ่บจังโว้ย555555 #เสรีรวมไทย";;;#เสร;"1098982320588054529";https://twitter.com/fanmeaw1/status/1098982320588054529
;2019-02-22 23:18;23;14;"ช่วยกันติด #เนชั่นสื่อขยะ กันเถอะ #เลือกตั้ง62 #ฟ้ารักพ่อ #อนาคตใหม่ #เพื่อไทย #ไทยรักษาชาติ #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62";;;#เนช #เล #ฟ #อนาคตใหม #เพ #ไทยร #เสร #ไทยร;"1098980420505427968";https://twitter.com/Rachata_chai/status/1098980420505427968
;2019-02-22 23:15;0;0;"เล่นเกมมากะนานเพิ่งจะเจอคนที่หาเสียงด้วยเกมเนี่ยคนแรก555 พี่จะพานู๋ลงร้อยชั้นจริงหรอคะ.. เออแอดมาคับ5555 นับว่าเป็นอีกพรรคที่มาแรง เอาใจเกมเมอร์ไปเล้ยย #เสรีรวมไทย #คิดภูวพัฒน์ pic.twitter.com/YkI5tjQG4V";;;#เสร #ค;"1098979680055549952";https://twitter.com/SM_Supermom/status/1098979680055549952
;2019-02-22 22:58;0;0;"#ยุติความรุนแรงชายแดนใต้ #เสรีพิศุทธ์ #เสรีรวมไทย https:// twitter.com/thairath_news/ status/1098929871772733442 …";;;#ย #เสร #เสร;"1098975233422155776";https://twitter.com/nanasara10/status/1098975233422155776
;2019-02-22 22:53;13;9;""22พฤษภา57 ถ้าผมร่วมรัฐบาล ร่วมโต๊ะอยู่ด้วย ผมยิงคุณไปแล้วคุณประยุทธ์ เพราะคุณเป็นกบฏ" -เสรีพิศุทธ์ เตมียเวส- . . #ป๊าขอโอกาส #ป๊าเสรี #เสรีรวมไทย #workpointnews #Workpoint23 #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 pic.twitter.com/Lm4mwZmpZV";;;#ป #ป #เสร #workpointnews #Workpoint23 #ไทยร #เล;"1098974147416211456";https://twitter.com/hengsuaycountry/status/1098974147416211456
;2019-02-22 22:50;0;0;"ประเทศกูมี ประเทศกูมี #เสรีรวมไทย https:// twitter.com/thairath_news/ status/1098934926181691392 …";;;#เสร;"1098973319305453568";https://twitter.com/oaepolitics/status/1098973319305453568
;2019-02-22 22:48;6;7;"FCป๊า ดูช่อง #Workpoint23 ด่วนจร้าา ป๊าวาร์ปจากเชียงใหม่มาให้สัมภาษณ์เดี่ยวรอบดึก แซ่บสุด! #ป๊าขอโอกาส #เสรีรวมไทย #เสรีพิศุทธ์ #เลือกตั้ง62 #เลือกตั้งปี62 #ลุยศึกเลือกตั้ง62 #ไทยรัฐเลือกตั้ง62 pic.twitter.com/Vqf2LCZzmb";;;#Workpoint23 #ป #เสร #เสร #เล #เล #ล #ไทยร;"1098972846083039232";https://twitter.com/hengsuaycountry/status/1098972846083039232
;2019-02-22 22:44;0;0;"#เสรีรวมไทย https:// twitter.com/Thairath_News/ status/1098927649144037377 …";;;#เสร;"1098971914809139200";https://twitter.com/Healthy_Padee/status/1098971914809139200
;2019-02-22 22:09;2;3;"มัวแต่เถียงกันเรื่องประชาธิปไตย กับ เผ็ดกลาง ฟังมาหลายวันแล้ว น่ามคาน มาเถียงกันเรื่องเศรษฐกิจ ดีกว่าจะได้กาถูก ต่อให้คุณมาบริหารประเทศ ถ้าเศรษฐกิจไม่ดีก็อดตายกันหมด #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เพื่อชาติ #เสรีรวมไทย #พลังประชารัฐ";;;#ไทยร #เล #อนาคตใหม #เพ #ประชาธ #เพ #เสร #พล;"1098963016337436672";https://twitter.com/Asokun39/status/1098963016337436672
;2019-02-22 21:42;10;10;"เอางี้ กูว่ามึงยุบให้หมดเหอะ เหลือแค่พรรค #พลังประชารัฐ กับ #ประชาชนปฏิรูป พอ มึงได้เป็นนายกชัวร์ คือกูเห็นมึงพยายามแล้วกูเหนื่อยแทนว่ะ #เลือกตั้ง62 #ไทยรัฐเลือกตั้ง62 #อนาคตใหม่ #เพื่อไทย #ประชาธิปัตย์ #เสรีรวมไทย #ฟ้ารักพ่อ #savetanathorn";;;#พล #ประชาชนปฏ #เล #ไทยร #อนาคตใหม #เพ #ประชาธ #เสร #ฟ #savetanathorn;"1098956171065475073";https://twitter.com/volleyship/status/1098956171065475073
;2019-02-22 21:32;3;1;"ก็ว่าอยู่ ทำไมในภาพโปรโมทมี 7 พรรค แต่พอดูไปมีแค่ 6 พอกลับไปดูภาพอีกที อ้าวพลังประชารัฐส่งตำรวจมา Debate นี่หว่า ชิปหายละ #เสรีรวมไทย ส่งหัวหน้าพรรคมา เกือบบันเทิงกว่านี้มั้ยละมึง #ไทยรัฐเลือกตั้ง62";;;#เสร #ไทยร;"1098953803955503105";https://twitter.com/ZeetarDEV/status/1098953803955503105
;2019-02-22 21:27;0;0;"#เสรีรวมไทย";;;#เสร;"1098952416571977730";https://twitter.com/nat_atnat/status/1098952416571977730
;2019-02-22 21:14;61;20;"นี่เชื่อคำที่ป๋าเสรีพูดว่า ถ้ายังมีงบลงใต้ ความสงบก็ไม่เกิด เพราะมันไปตรงกับเพื่อนที่อยู่ปัตตานีพูด คนที่นั่นรู้กันหมดว่าเรื่องมันเป็นยังไง มีที่ไหนล่ะ ค่ายทหารโดนปล้น เมิงบ้าติ #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #เสรีรวมไทย";;;#ไทยร #เล #เสร;"1098949070553403392";https://twitter.com/pannidame/status/1098949070553403392
;2019-02-22 21:09;42;21;"ฝั่งประชาธิปไตยต้องแทคทีมกัน ต้องสนับสนุนกันและกัน แบบนี้แหละ บรรยากาศการเมืองดูน่ารักแบบที่ไม่เคยเห็นมาก่อน เลือกใครก็ได้ เลือกพรรคอะไรก็ได้ แต่คุณต้องออกมาใช้สิทธิของคุณให้มากที่สุด ออกมาแสดงพลังว่าเราไม่เอาเผด็จการ #อนาคตใหม่ #ไทยรัฐเลือกตั้ง62 #เพื่อไทย #เสรีรวมไทย";;;#อนาคตใหม #ไทยร #เพ #เสร;"1098947976053977088";https://twitter.com/Kanjanabs/status/1098947976053977088
;2019-02-22 21:08;9;3;"ป๊า! ป๊าเป็นสายแท็งค์ที่แท้ทรู เป็นบิดาแห่งการวอร์ #เสรีรวมไทย #เสรีพิศุทธ์ #ไทยรัฐเลือกตั้ง62 https:// twitter.com/Thairath_News/ status/1098929871772733442 …";;;#เสร #เสร #ไทยร;"1098947659639877633";https://twitter.com/Pari_k1922/status/1098947659639877633
;2019-02-22 20:46;7;5;"ความจริงอินี่ชอบทั้ง #อนาคตใหม่ กับ #เสรีรวมไทย นะ ธนาธรมีค.คิดก้าวหน้า หัวสมัยใหม่ แต่พรรคการเมืองใหม่ ถ้าเป็นนายกจริงๆจะทำอะไร ก็โดนพวกไดโนเสาร์ขัดแข้งขัดขา ทำไรไม่สะดวก แต่ถ้าเป็นป๋าเสรี เราว่าแกมีอำนาจและบารมีมากพอที่จะตบพวกเผด็จการได้อะ รวมพรรคกันเถอะค่ะplease";;;#อนาคตใหม #เสร;"1098942052203520000";https://twitter.com/fanmeaw1/status/1098942052203520000
;2019-02-22 20:45;0;0;"จังหวะนี้ กรูไม่รู้จะด่าใครก่อนดี #จักร5ใบ หรือ #เจษฎ์ยุบพรรค ไม่รู้เรียนอะไรกันมายังไง เพ้อเจ้อกันเหลือเกินพี่จ๋า #ประเทศกูมี #เสรีรวมไทย";;;#จ #เจษฎ #ประเทศก #เสร;"1098941735374282752";https://twitter.com/SuthamPhurahong/status/1098941735374282752
;2019-02-22 20:38;0;0;"ประเทศกูมี...,เสรีพิศุทธ์ #เสรีรวมไทย https:// twitter.com/thairath_news/ status/1098934926181691392 …";;;#เสร;"1098940148543193088";https://twitter.com/SrisurangKham/status/1098940148543193088
;2019-02-22 20:35;490;250;""บอกว่าไม่ชอบ แต่สุดท้ายไม่ยอมเข้ามาอยู่ในระบบ นี่ไม่ยอม ไม่ยอม ไม่ยอม ไม่ยอม แล้วจะให้ผมทำไงผมไม่ยอมอยู่ในประเทศนี้ ประเทศกูมี - เสรีพิศุทธ์" #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #ไทยรัฐดีเบต pic.twitter.com/NdJYLfTNOH";;;#เสร #ไทยร #เล #ไทยร;"1098939238119223298";https://twitter.com/Thairath_News/status/1098939238119223298
;2019-02-22 20:34;19;5;"ลุงเสรีโคตรแซ่บ555 นาฬิกาที่หาไม่เจอเดี๋ยวเสรีจะหาให้ ไอ้พวกชื่อป.ปลาทั้งหลายเนี่ยแพ้ผมหมดอ่ะ #ไทยรัฐเลือกตั้ง62 #เสรีรวมไทย";;;#ไทยร #เสร;"1098939087371653122";https://twitter.com/BabyTUDY/status/1098939087371653122
;2019-02-22 20:32;4;12;"อ.ปิยบุตร #อนาคตใหม่ ท่านเสรีพิศุทธ์ #เสรีรวมไทย ส่วนตัว คือคนที่ดีเบต พูดตรงใจที่สุด ดีเบตเห็นภาพ มีสาระ เนื้อๆ ไม่น้ำๆ และแสดงจุดยืนที่ชัดเจนว่าจะไม่เอาระบบเผด็จการและยึดอำนาจอีก โดยรวม ดีที่สุดล่ะครับ ทำให้รู้ว่าเราควรจะเลือกพรรคไหน ในวันที่ 24 มี.ค.";;;#อนาคตใหม #เสร;"1098938688002613248";https://twitter.com/Bankk_Aphiwit/status/1098938688002613248
;2019-02-22 20:28;0;0;"ป๊า เริ่ดดดมาก อยากให้ป๊าฟาดดดดดดๆๆ #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62";;;#เสร #ไทยร;"1098937668480655360";https://twitter.com/comelyple/status/1098937668480655360
;2019-02-22 20:26;0;0;"ชอบ #อนาคตใหม่ เเต่ก็ชอบ #เสรีรวมไทย ฮื่ออ ลังเลจุง";;;#อนาคตใหม #เสร;"1098937026806607872";https://twitter.com/aom_rungtip/status/1098937026806607872
;2019-02-22 20:17;1158;448;""ประเทศกูมี...เสรีพิศุทธ์" #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #ไทยรัฐดีเบต pic.twitter.com/y5bOMpSbbd";;;#เสร #ไทยร #เล #ไทยร;"1098934926181691392";https://twitter.com/Thairath_News/status/1098934926181691392
;2019-02-22 20:13;36;24;"วันนี้ให้สองท่านนี้ครับ #ไทยรัฐเลือกตั้ง62 #เสรีรวมไทย #อนาคตใหม่ pic.twitter.com/grFM73ti2q";;;#ไทยร #เสร #อนาคตใหม;"1098933832319811584";https://twitter.com/vut1984/status/1098933832319811584
;2019-02-22 19:57;2468;1042;""คุณบริหารประเทศแบบนี้ แล้วยังจะมาสืบทอดอำนาจอีก พี่น้องประชาชนจะเลือกหรือครับ คุณสอบตกมาโดยตลอด ไม่ได้แค่สมควรไล่ออก ต้องเอาไปติดคุกด้วย" เสรีพิศุทธ์ #เสรีรวมไทย สดคลิก https:// bit.ly/2TaAQm2 #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง62 #ไทยรัฐดีเบต pic.twitter.com/OoiIORzwQP";;;#เสร #ไทยร #เล #ไทยร;"1098929871772733442";https://twitter.com/Thairath_News/status/1098929871772733442
;2019-02-22 19:54;5;6;""ฟิลิปปินส์​มีดูเตอร์เต้ ประเทศกูมีเสรีพิสุทธิ์​" เหยดเข้ โคตรมา​ เสรีรวมไทยม้ามืดจริงๆ​ #ไทยรัฐเลือกตั้ง62 #ไทยรัฐดีเบต #เสรีรวมไทย #เสรีพิศุทธ์";;;#ไทยร #ไทยร #เสร #เสร;"1098929014419255298";https://twitter.com/Pichaya80132630/status/1098929014419255298
;2019-02-22 19:47;3;4;"#เสรีรวมไทย pic.twitter.com/Dg0KK4QNyt";;;#เสร;"1098927143873011713";https://twitter.com/ketsiri_r/status/1098927143873011713
;2019-02-22 19:23;1;0;"ส่วนตัวก็ชอบท่านเสรีนะ ดูนักเลงดีไม่กลัวอะไร ดูแบบพร้อมบวก ตลอดอะ ถ้าได้เป็นนายกแล้วคนพวกนั้นจะกลับมายึดอำนาจอีก คงจะแบบ ก็มาดิ ไรเงี้ย //ขมวดคิ้ว #เลือกตั้ง62 #เสรีรวมไทย";;;#เล #เสร;"1098921206202265600";https://twitter.com/Todaymecool/status/1098921206202265600
;2019-02-22 19:00;15;9;"ถ้า #อนาคตใหม่ โดนยุบ นี่ก็พร้อมกระโดดลงเรือลุงเสรี ต้องเจออาวุธหนัก #เสรีรวมไทย #ไทยรัฐเลือกตั้ง62 pic.twitter.com/9ZcYdsUJ0h";;;#อนาคตใหม #เสร #ไทยร;"1098915459032731649";https://twitter.com/RealKilluaZol/status/1098915459032731649
;2019-02-22 18:47;41;11;"ซื้อคนของพรรคโน่น พรรคนี้ไปเยอะ นี่มันค้ามนุษย์นี่หว่าาาา 55555555555 โอ๊ยยย ป๊าาาแซ่บเว่อร์ #ไทยรัฐดีเบต #ไทยรัฐเลือกตั้ง62 #เสรีรวมไทย #เลือกตั้ง2562 pic.twitter.com/tNAAptx2ay";;;#ไทยร #ไทยร #เสร #เล;"1098912196296208384";https://twitter.com/SummerG39/status/1098912196296208384
;2019-02-22 18:46;1;1;"สู้เขาคะคุณตาเสรี สู้เขาคะ อ.ปิยบุตร หนูเชียร์มากไฟว้ให้เต็มที่ #เสรีรวมไทย #อนาคตใหม่ #ไทยรัฐเลือกตั้ง62";;;#เสร #อนาคตใหม #ไทยร;"1098911868196814848";https://twitter.com/riyo_miyabi/status/1098911868196814848
;2019-02-22 18:35;2;3;"กุอยากได้ป๊าเสรีเป็น รมต กลาโหมจริงๆ แม่งเอ้ย ใจมันได้ พาวเวอมันมี พวกกังฉินตายหมดแน่ #ไทยรัฐเลือกตั้ง62 #เลือกตั้ง2562 #เสรีรวมไทย #เสรีพิศุทธ์";;;#ไทยร #เล #เสร #เสร;"1098909172387667973";https://twitter.com/TopGrace/status/1098909172387667973
;2019-02-22 18:30;2;3;"คุณ @KPuvaphat หาเสียงที่ ตลาดจัตตุจักรกลางคืนยาวๆ ไปพบกันได้นะครับ #พรรคเสรีรวมไทย #เสรีรวมไทย เสรีรวมไทยหัวใจรวมเธอ";;@KPuvaphat;#พรรคเสร #เสร;"1098907967116595201";https://twitter.com/Poom10091988/status/1098907967116595201
